 #  Electrostatic field (a.u.)
 #  Element:  C,  Z =   6  atomic weight = 1.2000000E+01 g/mol
 #  Number of electrons =  0
 #  MNUCL =  4,   MELEC =  4
 #
 #   I       R(I)           RHON(I)         RVN(I)          DEN(I)          RVST(I)
 #------------------------------------------------------------------------------------
     1  0.00000000E+00  1.21983662E+13 -2.77555756E-16  0.00000000E+00 -2.77555756E-16
   253  2.58791847E-05  1.13956643E+13  3.91189771E+00  0.00000000E+00  3.91189771E+00
   254  2.62162369E-05  1.13298265E+13  3.95124332E+00  0.00000000E+00  3.95124332E+00
   255  2.65548495E-05  1.12614039E+13  3.99034413E+00  0.00000000E+00  3.99034413E+00
   256  2.68950041E-05  1.11903860E+13  4.02918917E+00  0.00000000E+00  4.02918917E+00
   257  2.72366824E-05  1.11167665E+13  4.06776769E+00  0.00000000E+00  4.06776769E+00
   258  2.75798664E-05  1.10405437E+13  4.10606908E+00  0.00000000E+00  4.10606908E+00
   259  2.79245382E-05  1.09617205E+13  4.14408293E+00  0.00000000E+00  4.14408293E+00
   260  2.82706800E-05  1.08803044E+13  4.18179904E+00  0.00000000E+00  4.18179904E+00
   261  2.86182745E-05  1.07963075E+13  4.21920739E+00  0.00000000E+00  4.21920739E+00
   262  2.89673043E-05  1.07097468E+13  4.25629822E+00  0.00000000E+00  4.25629822E+00
   263  2.93177525E-05  1.06206438E+13  4.29306195E+00  0.00000000E+00  4.29306195E+00
   264  2.96696020E-05  1.05290248E+13  4.32948928E+00  0.00000000E+00  4.32948928E+00
   265  3.00228363E-05  1.04349210E+13  4.36557112E+00  0.00000000E+00  4.36557112E+00
   266  3.03774388E-05  1.03383678E+13  4.40129867E+00  0.00000000E+00  4.40129867E+00
   267  3.07333933E-05  1.02394056E+13  4.43666337E+00  0.00000000E+00  4.43666337E+00
   268  3.10906838E-05  1.01380791E+13  4.47165693E+00  0.00000000E+00  4.47165693E+00
   269  3.14492943E-05  1.00344374E+13  4.50627135E+00  0.00000000E+00  4.50627135E+00
   270  3.18092091E-05  9.92853417E+12  4.54049892E+00  0.00000000E+00  4.54049892E+00
   271  3.21704129E-05  9.82042689E+12  4.57433222E+00  0.00000000E+00  4.57433222E+00
   272  3.25328903E-05  9.71017728E+12  4.60776412E+00  0.00000000E+00  4.60776412E+00
   273  3.28966262E-05  9.59785089E+12  4.64078781E+00  0.00000000E+00  4.64078781E+00
   274  3.32616057E-05  9.48351699E+12  4.67339681E+00  0.00000000E+00  4.67339681E+00
   275  3.36278142E-05  9.36724836E+12  4.70558492E+00  0.00000000E+00  4.70558492E+00
   276  3.39952370E-05  9.24912110E+12  4.73734629E+00  0.00000000E+00  4.73734629E+00
