 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   3.45245386E-01  9.32887947E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.69905775E-01  1.07091679E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.94566165E-01  1.21846473E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.19226556E-01  1.37553173E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.43886949E-01  1.54211776E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.68547342E-01  1.71822279E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.93207737E-01  1.90384679E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.17868133E-01  2.09898972E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.42528530E-01  2.30365155E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.67188929E-01  2.51783223E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.91849329E-01  2.74153172E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.16509731E-01  2.97474999E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.41170134E-01  3.21748699E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.65830539E-01  3.46974267E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.90490945E-01  3.73151698E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.15151354E-01  4.00280987E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.39811764E-01  4.28362130E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.64472176E-01  4.57395121E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.89132590E-01  4.87379953E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.13793006E-01  5.18316623E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.38453424E-01  5.50205123E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.63113845E-01  5.83045448E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.87774267E-01  6.16837592E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.12434692E-01  6.51581547E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.37095119E-01  6.87277308E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.61755549E-01  7.23924867E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.86415981E-01  7.61524218E-05  6.93561E-11 -2.64737E-11  6.04379E-13 -2.31110E-13
   1.08505773E+00  9.21439392E-05  5.75106E-11 -2.14067E-11  5.51013E-13 -2.05389E-13
   1.18369953E+00  1.09658263E-04  4.84582E-11 -1.76162E-11  5.04367E-13 -1.82816E-13
   1.28234138E+00  1.28695339E-04  4.13979E-11 -1.47223E-11  4.69430E-13 -1.67463E-13
   1.38098328E+00  1.49255109E-04  3.57784E-11 -1.24629E-11  4.34730E-13 -1.51055E-13
   1.47962524E+00  1.71337512E-04  3.12325E-11 -1.06677E-11  4.07991E-13 -1.39555E-13
   1.57826726E+00  1.94942480E-04  2.75054E-11 -9.22185E-12  3.82662E-13 -1.28244E-13
   1.67690934E+00  2.20069940E-04  2.44076E-11 -8.03887E-12  3.60796E-13 -1.18783E-13
   1.77555149E+00  2.46719817E-04  2.18083E-11 -7.06217E-12  3.41678E-13 -1.10743E-13
   1.87419371E+00  2.74892029E-04  1.96033E-11 -6.24561E-12  3.23737E-13 -1.03039E-13
   1.97283602E+00  3.04586490E-04  1.77178E-11 -5.55730E-12  3.08423E-13 -9.68206E-14
