    Radial grid:  A*(R(I)+R0)+B*LOG(R(I)+R0)+C=I

    R0= 1.78012201018E-08  RN= 3.77945225092E-04
     C= 4.98000000000E+02   N=  996

     A= 1.89832748621E+06   B= 2.78525012550E+01  C= 4.98000000000E+02

    I        R(I)         DIFR(I)
   ----------------------------------
   484  1.2452262E-04  4.7126025E-07
   485  1.2499397E-04  4.7144760E-07
   486  1.2546551E-04  4.7163376E-07
   487  1.2593724E-04  4.7181874E-07
   488  1.2640915E-04  4.7200256E-07
   489  1.2688124E-04  4.7218522E-07
   490  1.2735352E-04  4.7236674E-07
   491  1.2782598E-04  4.7254713E-07
   492  1.2829861E-04  4.7272639E-07
   493  1.2877143E-04  4.7290453E-07
   494  1.2924442E-04  4.7308158E-07
   495  1.2971759E-04  4.7325752E-07
   496  1.3019094E-04  4.7343239E-07
   497  1.3066446E-04  4.7360618E-07
   498  1.3113815E-04  4.7377890E-07
   499  1.3161202E-04  4.7395057E-07
   500  1.3208605E-04  4.7412118E-07
   501  1.3256026E-04  4.7429077E-07
   502  1.3303463E-04  4.7445932E-07
   503  1.3350918E-04  4.7462685E-07
   504  1.3398389E-04  4.7479337E-07
   505  1.3445876E-04  4.7495889E-07
   506  1.3493380E-04  4.7512342E-07
   507  1.3540901E-04  4.7528696E-07
   508  1.3588438E-04  4.7544952E-07
   509  1.3635991E-04  4.7561112E-07
   510  1.3683560E-04  4.7577175E-07
   511  1.3731145E-04  4.7593144E-07
   512  1.3778746E-04  4.7609018E-07
   513  1.3826363E-04  4.7624798E-07
   514  1.3873996E-04  4.7640486E-07
   515  1.3921644E-04  4.7656081E-07
   516  1.3969308E-04  4.7671586E-07
   517  1.4016987E-04  4.7687000E-07
   518  1.4064682E-04  4.7702324E-07
   519  1.4112392E-04  4.7717559E-07
   520  1.4160117E-04  4.7732706E-07
   521  1.4207857E-04  4.7747766E-07
   522  1.4255612E-04  4.7762739E-07
   523  1.4303383E-04  4.7777625E-07
   524  1.4351168E-04  4.7792427E-07
   525  1.4398967E-04  4.7807144E-07
